"pos","RANK","Heat","bib","Country","Athlete","mark","details","reaction time"
"","","2","2806","RUS","Maksim DYLDIN","DQ","","0.168"
"1","1","1","3044","TTO","Lalonde GORDON","44.58 PB","Q","0.168"
"2","1","2","2005","GRN","Kirani JAMES","44.59 SB","Q","0.170"
"3","2","2","1100","BAH","Chris BROWN","44.67 SB","Q","0.174"
"4","1","3","1564","DOM","Luguelín SANTOS","44.78","Q","0.155"
"5","2","3","1133","BEL","Kévin BORLÉE","44.84","Q","0.147"
"6","2","1","1108","BAH","Demetrius PINDER","44.94","Q","0.161"
"7","3","1","1060","AUS","Steven SOLOMON","44.97 PB","q","0.188"
"8","3","2","1132","BEL","Jonathan BORLÉE","44.99","q","0.164"
"9","3","3","3241","USA","Bryshon NELLUM","45.02","","0.173"
"10","4","3","1105","BAH","Ramon MILLER","45.11","","0.190"
"11","4","1","2968","SUD","Rabah YOUSIF","45.13 =PB","","0.178"
"12","5","1","1519","CZE","Pavel MASLÁK","45.15","","0.166"
"13","6","1","2124","ISV","Tabarie HENRY","45.19 SB","","0.167"
"14","4","2","3235","USA","Tony MCQUAY","45.31","","0.230"
"14","5","3","1831","GBR","Martyn ROONEY","45.31","","0.186"
"16","7","1","2835","RUS","Pavel TRENIKHIN","45.35","","0.198"
"17","8","1","1842","GBR","Conrad WILLIAMS","45.53","","0.153"
"18","6","3","2177","JAM","Dane HYATT","45.59","","0.159"
"19","5","2","1816","GBR","Nigel LEVINE","45.64","","0.146"
"20","7","3","2374","KSA","Youssef Ahmed MASRAHI","45.91","","0.146"
"21","6","2","3345","VEN","Alberth BRAVO","46.22","","0.185"
"22","7","2","2790","RSA","Oscar PISTORIUS","46.54","","0.254"
"23","8","3","2078","IOA","Liemarvin BONEVACIA","1:36.42","","0.153"
