"pos","RANK","Heat","bib","Country","Athlete","mark","details","reaction time"
"","","4","2780","KEN","Emmanuel Kipkurui KORIR","DQ","",""
"1","1","3","3913","USA","Michael CHERRY","44.82","Q","0.178"
"2","1","1","1270","BOT","Isaac MAKWALA","44.86","Q","0.197"
"3","1","4","1551","COL","Anthony José ZAMBRANO","44.87","Q","0.167"
"4","2","4","1097","AUS","Steven SOLOMON","44.94 PB","Q","0.163"
"5","1","6","3015","NED","Liemarvin BONEVACIA","44.95","Q","0.171"
"6","2","3","1154","BAR","Jonathan JONES","45.04 SB","Q","0.181"
"7","1","5","1136","BAH","Steven GARDINER","45.05","Q","0.163"
"8","2","1","2235","GRN","Kirani JAMES","45.09","Q","0.160"
"9","2","5","3633","TTO","Deon LENDORE","45.14","Q","0.203"
"10","1","2","2827","KSA","Mazen Mawtan AL YASEN","45.16 PB","Q","0.163"
"11","3","3","2634","JAM","Christopher TAYLOR","45.20","Q","0.151"
"12","3","4","3438","RSA","Wayde VAN NIEKERK","45.25","Q","0.162"
"13","4","4","1274","BOT","Leungo SCOTCH","45.32","q","0.186"
"14","2","6","3958","USA","Michael NORMAN","45.35","Q","0.157"
"15","2","2","1191","BEL","Kévin BORLÉE","45.36 SB","Q","0.126"
"16","3","1","1201","BEL","Jonathan SACOOR","45.41","Q","0.151"
"17","4","3","3635","TTO","Dwight ST. HILLAIRE","45.41","q","0.176"
"18","5","3","3468","SLO","Luka JANEŽIČ","45.44 SB","q","0.163"
"19","5","4","2437","ITA","Davide RE","45.46 SB","q","0.171"
"20","4","1","2583","JAM","Demish GAYE","45.49","q","0.165"
"21","5","1","1137","BAH","Alonzo RUSSELL","45.51 SB","q","0.223"
"22","6","1","1076","AUS","Alex BECK","45.54 PB","","0.160"
"23","3","5","3019","NED","Jochem DOBBER","45.54","Q","0.179"
"24","3","6","3625","TTO","Machel CEDENIO","45.56","Q","0.218"
"25","3","2","3522","SUI","Ricky PETRUCCIANI","45.64","Q","0.168"
"26","4","2","3964","USA","Randolph ROSS","45.67","","0.227"
"27","4","6","2438","ITA","Edoardo SCOTTI","45.71","","0.169"
"28","5","2","3427","RSA","Zakithi NENE","45.74","","0.147"
"29","5","6","3428","RSA","Thapelo PHORA","45.83 SB","","0.150"
"30","6","6","2360","IRQ","Taha Hussein YASEEN","46.00 SB","","0.144"
"31","6","3","1453","CGO","Gilles Anthony AFOUMBA","46.03 SB","","0.199"
"32","7","3","1312","BRA","Lucas CARVALHO","46.12","","0.172"
"33","4","5","2537","JAM","Nathon ALLEN","46.12","","0.138"
"34","5","5","3497","SUD","Sadam Suliman KOUMI EL NOUR","46.26 SB","","0.143"
"35","6","5","2178","GER","Marvin SCHLEGEL","46.39","","0.200"
"36","6","2","1546","COL","Jhon Alejandro PERLAZA","46.55","","0.159"
"37","6","4","2719","JPN","Julian Jrummi WALSH","46.57","","0.146"
"38","7","4","2953","MKD","Jovan STOJOSKI","46.81 PB","","0.184"
"39","7","1","3235","POR","Ricardo DOS SANTOS","46.83","","0.140"
"40","7","2","1636","CZE","Pavel MASLÁK","47.01","","0.196"
"41","7","5","2741","KAZ","Mikhail LITVIN","47.15","","0.210"
"42","8","1","1454","CHA","Bachir MAHAMAT","47.93 SB","","0.206"
"43","7","6","1796","ESP","Óscar HUSILLOS","48.05","","0.147"
"44","8","3","1148","BAN","Mohammad Jahir RAYHAN","48.29 SB","","0.170"
"45","8","6","2879","MAD","Todisoa Franck RABEARISON","48.40 SB","","0.196"
"46","8","2","4017","YEM","Ahmed AL YAARI","48.53 SB","","0.183"
"47","8","5","3212","POL","Karol ZALEWSKI","2:15.38","","0.154"
